id_aluno,ano,id_municipio,sigla_uf,rede,localizacao,sexo,idade,proficiencia_saeb,alfabetizado,fonte
32b08bade8da31b5,2024,2104503,MA,MUNICIPAL,URBANA,F,7,772.8,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
d9cc8694b67bd07e,2025,4203006,SC,ESTADUAL,URBANA,F,7,817.2,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
347530b64728c102,2025,2305233,CE,MUNICIPAL,RURAL,F,7,705.3,0,SIMULACAO_CALIBRADA_POR_MUNICIPIO
130e8f4babc078ee,2024,3557105,SP,MUNICIPAL,URBANA,F,7,797.8,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
3608392038c9240c,2023,3136702,MG,MUNICIPAL,URBANA,M,7,818.2,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
48651db727eb708d,2023,3136702,MG,MUNICIPAL,URBANA,M,7,861.3,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
f562dc8acbe8faa4,2023,2301901,CE,MUNICIPAL,RURAL,F,7,865.4,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
ea10c0c5b28db52e,2025,3305109,RJ,MUNICIPAL,URBANA,F,7,763.3,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
9f19920b10e8fe60,2024,4104451,PR,ESTADUAL,URBANA,M,9,769.3,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
d94bbf8d589e649e,2025,2104677,MA,MUNICIPAL,URBANA,M,7,711.4,0,SIMULACAO_CALIBRADA_POR_MUNICIPIO
76217b361c748288,2023,1501956,PA,MUNICIPAL,URBANA,F,7,679.9,0,SIMULACAO_CALIBRADA_POR_MUNICIPIO
d360d0a74827fc4d,2025,4314902,RS,MUNICIPAL,URBANA,M,7,690.9,0,SIMULACAO_CALIBRADA_POR_MUNICIPIO
99b062c1e57c52ce,2025,3161106,MG,ESTADUAL,URBANA,M,7,834.8,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
5017b78a92befbc5,2023,3513801,SP,MUNICIPAL,URBANA,F,7,762.2,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
e06f2ab2586d425e,2023,3301702,RJ,MUNICIPAL,URBANA,M,7,686.5,0,SIMULACAO_CALIBRADA_POR_MUNICIPIO
baba8800ba5ff268,2023,3302403,RJ,ESTADUAL,URBANA,M,7,765.1,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
c84661167037ebdc,2023,4316907,RS,ESTADUAL,URBANA,M,7,839.0,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
a7cf933a458e41ff,2024,3304557,RJ,MUNICIPAL,URBANA,M,7,826.4,1,SIMULACAO_CALIBRADA_POR_MUNICIPIO
98498690f36aa10a,2024,2611606,PE,ESTADUAL,URBANA,M,9,733.2,0,SIMULACAO_CALIBRADA_POR_MUNICIPIO
25ea774b31e17f42,2023,4216602,SC,MUNICIPAL,URBANA,M,9,603.2,0,SIMULACAO_CALIBRADA_POR_MUNICIPIO
